Full Image Title,Onsite Image URL,Date,Object Page URL,Shortened Title with Date
Lot and His Daughters before Sodom (Munich),../img/scale/brueghel/3347.jpg,1595,janbrueghel/lot-and-his-daughters-before-sodom-munich,Lot and His Daughters before Sodom (Munich)
Madonna and Child in a Flower Garland (Madrid),../img/scale/brueghel/3349.jpg,1609,janbrueghel/madonna-and-child-in-a-flower-garland-madrid,Madonna and Child in a Flower Garland (Madrid)
Madonna and Child in a Flower Garland with Putti (Munich),../img/scale/brueghel/3350.jpg,1617,janbrueghel/madonna-and-child-in-a-flower-garland-with-putti-munich,Madonna and Child in a Flower Garland with Putti (Munich)
Madonna and Child with Angels in a Landscape,../img/scale/brueghel/3351.jpg,1608,janbrueghel/madonna-and-child-with-angels-in-a-landscape,Madonna and Child with Angels in a Landscape
Madonna and Child with Angels in a Landscape (Cologne),../img/scale/brueghel/3352.jpg,1608,janbrueghel/madonna-and-child-with-angels-in-a-landscape-cologne,Madonna and Child with Angels in a Landscape (Cologne)
Madonna of the Forget-Me-Nots,../img/scale/brueghel/3354.jpg,1620,janbrueghel/madonna-of-the-forget-me-nots,Madonna of the Forget-Me-Nots
Maria with the Animals (Rome),../img/scale/brueghel/3355.jpg,1604,janbrueghel/maria-with-the-animals-rome,Maria with the Animals (Rome)
Market Day in Village by a River,../img/scale/brueghel/3356.jpg,1611,janbrueghel/market-day-in-village-by-a-river,Market Day in Village by a River
Market and Bleaching Ground,../img/scale/brueghel/3357.jpg,1620,janbrueghel/market-and-bleaching-ground,Market and Bleaching Ground
Marriage of Bacchus and Ariadne (Brussels),../img/scale/brueghel/3358.jpg,1610,janbrueghel/marriage-of-bacchus-and-ariadne-brussels,Marriage of Bacchus and Ariadne (Brussels)
Marriage of Neptune and Amphitrite: Feast of the Gods,../img/scale/brueghel/3359.jpg,1600,janbrueghel/marriage-of-neptune-and-amphitrite-feast-of-the-gods,Marriage of Neptune and Amphitrite: Feast of the Gods
Marriage of Neptune and Amphitrite: Feast of the Gods by the Sea,../img/scale/brueghel/3360.jpg,1600,janbrueghel/marriage-of-neptune-and-amphitrite-feast-of-the-gods-by-the-sea,Marriage of Neptune and Amphitrite: Feast of the Gods by the Sea
